"Function","Gauss_Jordan_step","(Mat, [Typ], [IntValue]) ","Gauss Jordan algorithm step by step","Linear Algebra","Gauss Jordan algorithm step by step",,"matrix","matrix.hlp","21"
"Function","Gram_Schmidt","(Mat) ","Gram-Schmidt's Orthonormalization","Linear Algebra","Gram-Schmidt's Orthonormalization",,"matrix","matrix.hlp","27"
"Function","Interpolate","(x, Knots, [Degree], [Points])","Interpolation and data smoothing with polynomials","Interpolation","Interpolation with polynomials","regression polynomial","matrix","matrix.hlp","93"
"Function","M_ABS","(V) ","returns |A|","Linear Algebra","Euclidean Norm of vector or matrix","Frobenious","matrix","matrix.hlp","2"
"Function","M_ADD","(Mat1, Mat2) ","Addition of matrices ","Linear Algebra","Addition of matrices ",,"matrix","matrix.hlp","3"
"Function","M_BAB","(A, B) ","Similarity transform [B]*[A]*[B]^-1","Linear Algebra","Similarity transform [B]*[A]*[B]^-1",,"matrix","matrix.hlp","4"
"Function","M_DET","(Mat, [IMode], [Tiny]) ","Determinant","Linear Algebra","Determinant",,"matrix","matrix.hlp","5"
"Function","M_DET_C","(Mat, [Cformat])","Determinant for complex matrix","Linear Algebra","Determinant for complex matrix",,"matrix","matrix.hlp","95"
"Function","M_DET3","(Mat3) ","Determinant for tridiagonal matrices","Linear Algebra","Determinant for tridiagonal matrices",,"matrix","matrix.hlp","80"
"Function","M_DIAG","(Diag) ","Diagonal matrix from a vector","Linear Algebra","Diagonal matrix from a vector",,"matrix","matrix.hlp","53"
"Function","M_DIAG_ERR","(A) ","Return the average error form the diagonal form","Linear Algebra","Diagonalization error",,"matrix","matrix.hlp","45"
"Function","M_EXP","(A, [n]) ","Matrix series expansion e^[M]","Linear Algebra","Matrix series expansion e^[M]",,"matrix","matrix.hlp","48"
"Function","M_EXP_ERR","(A, n) ","Truncation error of matrix expansion series","Linear Algebra","Truncation error of matrix expansion series",,"matrix","matrix.hlp","49"
"Function","M_ID","() ","Matrix Identity (I)","Linear Algebra","Matrix Identity (I)",,"matrix","matrix.hlp","12"
"Function","M_INV","(Mat, , [IMode], [Tiny]) ","Matrix inverse [A]^-1","Linear Algebra","Matrix inverse [A]^-1",,"matrix","matrix.hlp","6"
"Function","M_INV_C","(A, [Cformat]) ","Complex Matrix inverse [A]^-1","Linear Algebra","Complex Matrix inverse [A]^-1",,"matrix","matrix.hlp","71"
"Function","M_MULT_C","(Mat1, Mat2, [Cformat]) ","Complex matrices multiplication","Linear Algebra","Complex matrices multiplication",,"matrix","matrix.hlp","69"
"Function","M_MULT3","(Mat3, Mat) ","Mutliplication for tridiagonal matrix","Linear Algebra","Mutliplication for tridiagonal matrix",,"matrix","matrix.hlp","78"
"Function","M_POW","(Mat, n) ","Power of matrix [A]^n","Linear Algebra","Power of matrix [A]^n",,"matrix","matrix.hlp","7"
"Function","M_PROD","(Mat1, Mat2) ","Product of matrices [A]*[B]*[C]*….","Linear Algebra","Product of matrices [A]*[B]*[C]*….",,"matrix","matrix.hlp","8"
"Function","M_PROD_S","(Mat, scalar) ","Matrix multiplication for a scalar","Linear Algebra","Matrix multiplication for a scalar",,"matrix","matrix.hlp","50"
"Function","M_RANK","(Mat) ","Rank of matrix","Linear Algebra","Rank of matrix",,"matrix","matrix.hlp","44"
"Function","M_SUB","(Mat1, Mat2) ","Subtraction of matrices","Linear Algebra","Subtraction of matrices",,"matrix","matrix.hlp","9"
"Function","M_T","(Mat) ","Matrix transpose","Linear Algebra","Matrix transpose",,"matrix","matrix.hlp","11"
"Function","M_TRAC","(Mat) ","Trace","Linear Algebra","Trace",,"matrix","matrix.hlp","10"
"Function","M_TRIA_ERR","(A) ","Return the average error form the triangular form","Linear Algebra","Triangolarization error",,"matrix","matrix.hlp","84"
"Function","Mat_Adm","(Branch)","Branch is a 4 columns  list: node+, node-, value real, value imm","Linear Algebra","Admittance matrix of a Linear Network Graph","circuit nodal voltage","matrix","matrix.hlp","96"
"Function","Mat_Cholesky","(Mat) ","Cholesky decomposition","Linear Algebra","Cholesky decomposition",,"matrix","matrix.hlp","28"
"Function","Mat_Hessemberg","(Mat)","Returns the Hessemberg form of a square matrix","Linear Algebra","Hessemberg form",,"matrix","matrix.hlp","88"
"Function","Mat_Hilbert","(Mat)","Returns Hilbert's matrix","Linear Algebra","Returns Hilbert's matrix",,"matrix","matrix.hlp","20"
"Function","Mat_Householder",,"Returns Houseolder matrix","Linear Algebra","Returns Houseolder matrix",,"matrix","matrix.hlp","20"
"Function","Mat_Leontief","(ExTab, Tot)","Returns the Leontief inverse matrix of Input-Output analysis","Statistical ","Returns the Leontief inverse matrix",,"matrix","matrix.hlp","103"
"Function","Mat_LU","(Mat, Optional Pivot) ","LU decomposition","Linear Algebra","LU decomposition",,"matrix","matrix.hlp","29"
"Function","Mat_QR","(Mat) ","QR decomposition","Linear Algebra","QR decomposition",,"matrix","matrix.hlp","30"
"Function","Mat_QR_iter","(Mat, [MaxLoops])","Performs the diagonalization with the QR iterative method","Linear Algebra","Performs the diagonalization with the QR iterative method",,"matrix","matrix.hlp","91"
"Function","Mat_Tartaglia",,"Returns Tartaglia's matrix","Linear Algebra","Returns Tartaglia's matrix",,"matrix","matrix.hlp","20"
"Function","Mat_Vandermonde",,"Returns Vandermonde's matrix","Linear Algebra","Returns Vandermonde's matrix",,"matrix","matrix.hlp","20"
"Function","MatCharPoly","(Mat) ","Return the characteristic polynomial of a square matrix with the Newton-Girard formulas","Linear Algebra","Characteristic polynomial coefficients",,"matrix","matrix.hlp","19"
"Function","MatCmpn","(Coeff) ","Companion matrix","Linear Algebra","Companion matrix","characteristic polynomial","matrix","matrix.hlp","57"
"Function","MatCorr","(A) ","Correlation matrix","Statistical ","Correlation matrix",,"matrix","matrix.hlp","56"
"Function","MatCovar","(A) ","Covariance matrix","Linear Algebra","Covariance matrix",,"matrix","matrix.hlp","54"
"Function","MatDiagExtr","(Mat, [Diag]) ","Diagonal extractor ","Linear Algebra","Diagonal extractor ",,"matrix","matrix.hlp","43"
"Function","MatEigenvalue_Jacobi","(Mat, Optional MaxLoops) ","Eigenvalues of symmetric matrix with Jacobi algorithm","Linear Algebra","Eigenvalues of symmetric matrix with Jacobi algorithm",,"matrix","matrix.hlp","15"
"Function","MatEigenvalue_max","(Mat, [IterMax]) ","Find dominant eigenvectors of a unsymmetric matrix using the powers' method","Linear Algebra","Dominant eigenvectors with powers' method",,"matrix","matrix.hlp","62"
"Function","MatEigenvalue_pow","(Mat, [IterMax]) ","Find all eigenvectors of a unsymmetric matrix using the powers' method","Linear Algebra","Eigenvectors with powers' method",,"matrix","matrix.hlp","64"
"Function","MatEigenvalue_QL","(Mat3, [IterMax])","Finds all real eigenvalues of a tridiagonal matrix with QL algorithm","Linear Algebra","Eigenvalues of tridiagonal matrix",,"matrix","matrix.hlp","86"
"Function","MatEigenvalue_QR","(Mat) ","Finds all real or complex eigenvalues with QR algorithm","Linear Algebra","Eigenvalues with QR algorithm",,"matrix","matrix.hlp","16"
"Function","MatEigenvalue_TridUni","(n, a, b, c)","Finds all eigenvalues of a tridiagonal uniform matrix (n x n )
a = lower subdiagonal, b= diagonal, c= upper subdiagonal","Linear Algebra","Eigenvalues of tridiagonal uniform matrix",,"matrix","matrix.hlp","87"
"Function","MatEigenvector","(Mat, Eigenvalues, [MaxErr])","Returns the Eigenvector associate with a given eigenvalue","Linear Algebra","Eigenvector of eigenvalue",,"matrix","matrix.hlp","17"
